['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [7, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:45:18.731062
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [7, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:45:25.227781
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [7, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:45:31.808492
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:45:38.408999
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:45:45.213519
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:45:51.863762
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:45:58.553893
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:46:05.313703
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:46:12.068622
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:46:18.643504
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [10, '4', 'Woodlawn']] 2021-11-25 10:46:25.310530
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:46:32.192941
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [6, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:46:38.759943
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:46:45.674600
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:46:52.467390
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:46:59.236999
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:47:05.848276
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:47:12.423621
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:47:19.229781
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [5, '2', 'Wakefield-241 St'], [9, '4', 'Woodlawn']] 2021-11-25 10:47:25.899965
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:47:32.615813
['Franklin Avenue-Medgar Evers College', [5, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:47:39.527018
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:47:46.201445
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:47:52.896937
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:47:59.557148
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [11, '3', 'Harlem-148 St']] 2021-11-25 10:48:06.262803
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:48:12.951818
['Franklin Avenue-Medgar Evers College', [4, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:48:19.320412
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [8, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:48:25.940928
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:48:32.605237
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:48:39.251421
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [10, '3', 'Harlem-148 St']] 2021-11-25 10:48:45.798042
