['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [1, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:52.084003
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [1, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:59.169481
['Jackson Hts-Roosevelt Av', [1, 'r', 'Forest Hills-71 Av'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:06.378036
['Jackson Hts-Roosevelt Av', [1, 'r', 'Forest Hills-71 Av'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:13.341333
['Jackson Hts-Roosevelt Av', [1, 'r', 'Forest Hills-71 Av'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:20.419002
['Jackson Hts-Roosevelt Av', [1, 'r', 'Forest Hills-71 Av'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:27.368500
['Jackson Hts-Roosevelt Av', [1, 'r', 'Forest Hills-71 Av'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:34.534613
['Jackson Hts-Roosevelt Av', [1, 'r', 'Forest Hills-71 Av'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:41.701369
['Jackson Hts-Roosevelt Av', [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:48.753691
['Jackson Hts-Roosevelt Av', [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:46:55.652616
['Jackson Hts-Roosevelt Av', [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:02.700164
['Jackson Hts-Roosevelt Av', [4, 'm', 'Forest Hills-71 Av'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:09.624717
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:16.627864
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:23.695973
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'm', 'Forest Hills-71 Av'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:30.635294
['Jackson Hts-Roosevelt Av', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:37.696700
['Jackson Hts-Roosevelt Av', [3, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:44.701198
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:52.002806
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:47:59.054964
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:06.235841
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:13.401597
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:20.371434
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:27.577069
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:34.636883
['Jackson Hts-Roosevelt Av', [2, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:41.740838
['Jackson Hts-Roosevelt Av', [1, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:48.776803
['Jackson Hts-Roosevelt Av', [1, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:48:56.217395
['Jackson Hts-Roosevelt Av', [1, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:49:03.225300
['Jackson Hts-Roosevelt Av', [1, 'm', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-26 09:49:10.196652
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:49:17.209403
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:49:24.219303
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:49:31.269627
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:49:38.836292
['Jackson Hts-Roosevelt Av', [4, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:49:46.011926
['Jackson Hts-Roosevelt Av', [3, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:49:53.226853
['Jackson Hts-Roosevelt Av', [3, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:00.466442
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:07.687522
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:14.847357
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:21.827295
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:28.977417
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:35.977384
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:42.927402
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:50.017273
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:50:56.964484
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:03.963126
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:10.956971
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:17.957054
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:25.017181
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:32.011610
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:38.988610
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:45.979471
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'm', 'Forest Hills-71 Av']] 2021-11-26 09:51:52.956445
