['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [3, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St']] 2021-10-25 15:57:07.103855
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:13.085463
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:18.781493
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:26.505957
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:32.606940
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:38.596866
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:44.494844
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:50.497670
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [3, '5', 'Eastchester-Dyre Av'], [4, '4', 'Woodlawn']] 2021-10-25 15:57:59.887923
['Franklin Avenue-Medgar Evers College', [2, '5', 'Eastchester-Dyre Av'], [3, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:07.131266
['Franklin Avenue-Medgar Evers College', [2, '5', 'Eastchester-Dyre Av'], [3, '2', 'Wakefield-241 St'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:14.398213
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:22.142918
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:28.338103
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:34.442906
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:40.532282
