['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:49:16.610549
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [9, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:49:23.373025
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [9, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:49:29.953482
['W 4 St-Wash Sq', [9, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:49:36.494673
['W 4 St-Wash Sq', [9, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:49:43.030603
['W 4 St-Wash Sq', [9, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:49:49.574094
['W 4 St-Wash Sq', [9, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:49:56.049759
['W 4 St-Wash Sq', [8, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:02.701804
['W 4 St-Wash Sq', [8, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:09.214434
['W 4 St-Wash Sq', [8, 'c', '168 St'], [11, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:15.962440
['W 4 St-Wash Sq', [8, 'c', '168 St'], [10, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:22.584717
['W 4 St-Wash Sq', [8, 'c', '168 St'], [10, 'a', 'Inwood-207 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:29.382273
['W 4 St-Wash Sq', [8, 'c', '168 St'], [10, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:35.959550
['W 4 St-Wash Sq', [8, 'c', '168 St'], [10, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:42.549703
['W 4 St-Wash Sq', [8, 'c', '168 St'], [10, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:49.201861
['W 4 St-Wash Sq', [8, 'c', '168 St'], [9, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:50:55.749296
['W 4 St-Wash Sq', [7, 'c', '168 St'], [9, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:51:02.393307
['W 4 St-Wash Sq', [7, 'c', '168 St'], [9, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:51:09.107940
['W 4 St-Wash Sq', [7, 'c', '168 St'], [9, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:51:15.593630
['W 4 St-Wash Sq', [7, 'c', '168 St'], [9, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:51:22.074736
['W 4 St-Wash Sq', [7, 'c', '168 St'], [9, 'a', 'Inwood-207 St'], [10, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:51:28.634470
